Date,First,Last,Highest,Lowest,Average
2006-2-01,4.54125,4.59750,4.59750,4.53625,4.54878
2006-3-01,4.55375,4.79875,4.79875,4.54125,4.61142
2006-4-01,4.81563,4.82188,4.82188,4.77500,4.80123
2006-5-01,4.85313,5.12125,5.12125,4.85313,5.01735
2006-6-01,5.07625,5.17125,5.17125,5.01750,5.06411
2006-7-01,5.32625,5.34250,5.34250,5.27438,5.29814
2006-8-01,5.30938,5.29313,5.33500,5.28313,5.29720
2006-9-01,5.29938,5.37500,5.37500,5.27094,5.29061
2006-10-01,5.31250,5.33000,5.33000,5.27500,5.29223
2006-11-01,5.29750,5.33000,5.33000,5.27625,5.28993
2006-12-01,5.29750,5.34250,5.34250,5.28625,5.29615
2007-1-01,5.34250,5.33125,5.34250,5.28500,5.29991
2007-2-01,5.29625,5.34500,5.34500,5.29125,5.29915
2007-3-01,5.33250,5.36000,5.36250,5.29750,5.30816
2007-4-01,5.35125,5.29750,5.37688,5.28125,5.32042
2007-5-01,5.35375,5.36375,5.36375,5.29938,5.31185
2007-6-01,5.32750,5.50000,5.50000,5.29125,5.31985
2007-7-01,5.36188,5.43375,5.43375,5.29813,5.32110
2007-8-01,5.37813,5.58750,5.95625,5.12125,5.43463
2007-9-01,5.51250,5.09375,5.51250,4.85250,5.17205
2007-10-01,5.02125,5.00625,5.03813,4.78250,4.87321
2007-11-01,4.64125,4.71625,4.95500,4.55750,4.67917
2007-12-01,4.70500,4.82250,4.82250,4.29688,4.48372
2008-1-01,4.45125,3.16375,4.45125,3.16375,4.03725
2008-2-01,3.15125,3.16250,3.27750,3.05500,3.12244
2008-3-01,3.15250,3.18125,3.86250,2.64750,3.08773
2008-4-01,3.03750,2.65500,3.03750,2.39125,2.61006
2008-5-01,2.46000,2.53875,2.58750,2.10875,2.25716
2008-6-01,2.31375,3.60625,3.60625,2.06750,2.23211
2008-7-01,2.54125,2.41625,2.54125,2.09750,2.24659
2008-8-01,2.20750,2.24875,2.25250,2.09625,2.17494
2008-9-01,2.17125,6.87500,6.87500,2.13000,3.04357
2008-10-01,3.79375,0.40625,5.37500,0.40625,2.12852
2008-11-01,0.38750,1.16250,1.16250,0.32250,0.53097
2008-12-01,1.08750,0.13500,1.08750,0.11000,0.28018
2009-1-01,0.12375,0.30500,0.30500,0.10250,0.16106
2009-2-01,0.28500,0.36250,0.36250,0.26500,0.29944
2009-3-01,0.31000,0.51000,0.51000,0.27875,0.31719
2009-4-01,0.29625,0.21250,0.29625,0.21250,0.26082
2009-5-01,0.23625,0.27125,0.27125,0.21750,0.23329
2009-6-01,0.26250,0.27750,0.27750,0.26000,0.26548
2009-7-01,0.26750,0.23500,0.26813,0.22313,0.24245
2009-8-01,0.23188,0.22938,0.24750,0.22688,0.23528
2009-9-01,0.22938,0.21125,0.23000,0.21000,0.21827
2009-10-01,0.20500,0.17875,0.20500,0.17875,0.19003
2009-11-01,0.17750,0.18250,0.18250,0.17563,0.17817
2009-12-01,0.17938,0.16875,0.18250,0.16875,0.17886
2010-1-01,0.17375,0.17313,0.17500,0.16938,0.17214
2010-2-01,0.17063,0.17375,0.17625,0.17063,0.17252
2010-3-01,0.17500,0.22513,0.22513,0.17500,0.20298
2010-4-01,0.21950,0.26313,0.26313,0.21950,0.24183
2010-5-01,0.26588,0.29875,0.32125,0.26588,0.29577
2010-6-01,0.30338,0.30563,0.30563,0.29313,0.29840
2010-7-01,0.30063,0.24094,0.30063,0.24094,0.26579
2010-8-01,0.24031,0.22813,0.24031,0.22438,0.23102
2010-9-01,0.22625,0.22625,0.22788,0.22500,0.22659
2010-10-01,0.22813,0.22563,0.22813,0.22500,0.22604
2010-11-01,0.22563,0.23625,0.23625,0.22563,0.22863
2010-12-01,0.24000,0.25188,0.25188,0.23750,0.24122
2011-1-01,0.24688,0.23531,0.24688,0.23531,0.23913
2011-2-01,0.23600,0.22550,0.23740,0.22550,0.23228
2011-3-01,0.22550,0.18450,0.22550,0.18450,0.20767
2011-4-01,0.18400,0.13375,0.18400,0.13350,0.14759
2011-5-01,0.13400,0.12800,0.13400,0.12700,0.13078
2011-6-01,0.12700,0.12800,0.12850,0.12550,0.12707
2011-7-01,0.12550,0.13125,0.13125,0.12175,0.12380
2011-8-01,0.12861,0.14667,0.17833,0.12861,0.14468
2011-9-01,0.14222,0.15222,0.15222,0.14111,0.14545
2011-10-01,0.14444,0.14222,0.14444,0.13944,0.14175
2011-11-01,0.14222,0.14500,0.14611,0.14056,0.14261
2011-12-01,0.14556,0.15400,0.15400,0.14556,0.14993
2012-1-01,0.14900,0.13950,0.15000,0.13950,0.14563
2012-2-01,0.13900,0.13900,0.14400,0.13850,0.14108
2012-3-01,0.13850,0.15250,0.15350,0.13850,0.14720
2012-4-01,0.15000,0.14700,0.15100,0.14400,0.14868
2012-5-01,0.14700,0.15600,0.15600,0.14700,0.15155
2012-6-01,0.15700,0.16950,0.16950,0.15700,0.16300
2012-7-01,0.16800,0.16140,0.17050,0.16140,0.16707
2012-8-01,0.15990,0.15040,0.15990,0.15040,0.15374
2012-9-01,0.15140,0.15160,0.15390,0.15090,0.15197
2012-10-01,0.15010,0.15600,0.15600,0.15010,0.15320
2012-11-01,0.15500,0.16050,0.16050,0.15300,0.15550
2012-12-01,0.16050,0.16800,0.16800,0.16000,0.16316
2013-1-01,0.16550,0.15400,0.16650,0.15400,0.16043
2013-2-01,0.15500,0.15300,0.15650,0.15200,0.15463
2013-3-01,0.15400,0.15600,0.15700,0.15300,0.15505
2013-4-01,0.15400,0.14700,0.15700,0.14700,0.15390
2013-5-01,0.14800,0.13220,0.15000,0.13220,0.14350
2013-6-01,0.13380,0.12500,0.13430,0.12500,0.13074
2013-7-01,0.12450,0.11870,0.12630,0.11746,0.12104
2013-8-01,0.11760,0.11630,0.12070,0.11530,0.11783
2013-9-01,0.11530,0.10520,0.11650,0.10520,0.11255
2013-10-01,0.10500,0.10370,0.10900,0.10130,0.10428
2013-11-01,0.09990,0.10470,0.10630,0.09990,0.10277
2013-12-01,0.10100,0.07950,0.10410,0.07950,0.10023
2014-1-01,0.09560,0.08620,0.09560,0.08470,0.09010
2014-2-01,0.08550,0.09000,0.09000,0.08400,0.08631
2014-3-01,0.08780,0.08550,0.09080,0.08550,0.08880
2014-4-01,0.08840,0.08760,0.09150,0.08650,0.08864
2014-5-01,0.08800,0.08660,0.09050,0.08660,0.08842
2014-6-01,0.08900,0.09360,0.09660,0.08800,0.09279
2014-7-01,0.09500,0.08650,0.09590,0.08650,0.09275
2014-8-01,0.08990,0.08950,0.09200,0.08950,0.09079
2014-9-01,0.09050,0.08080,0.09120,0.08080,0.09031
2014-10-01,0.09080,0.08800,0.09200,0.08800,0.09060
2014-11-01,0.09250,0.09770,0.10250,0.09250,0.09641
2014-12-01,0.10170,0.08520,0.11610,0.08520,0.11010
2015-1-01,0.11260,0.11500,0.12140,0.11260,0.11865
2015-2-01,0.11600,0.11600,0.12050,0.11600,0.11787
2015-3-01,0.11920,0.11400,0.12300,0.11400,0.12135
2015-4-01,0.12250,0.12000,0.12300,0.12000,0.12200
2015-5-01,0.12200,0.12100,0.12400,0.12100,0.12316
2015-6-01,0.12300,0.11200,0.12450,0.11200,0.12294
2015-7-01,0.12300,0.12140,0.12850,0.12140,0.12630
2015-8-01,0.12650,0.13350,0.13350,0.12600,0.13010
2015-9-01,0.13200,0.11620,0.13750,0.11620,0.13439
2015-10-01,0.13250,0.12480,0.13250,0.12480,0.13159
2015-11-01,0.13100,0.12800,0.13100,0.12800,0.13066
2015-12-01,0.13050,0.27450,0.36740,0.12950,0.22862
2016-1-01,0.36580,0.36740,0.36840,0.36500,0.36608
2016-2-01,0.36600,0.37150,0.37710,0.36600,0.37150
2016-3-01,0.36790,0.38310,0.38310,0.36790,0.37393
2016-4-01,0.37910,0.38370,0.38370,0.37750,0.38031
2016-5-01,0.38570,0.38650,0.38650,0.38400,0.38526
2016-6-01,0.38550,0.41160,0.41160,0.38500,0.39044
2016-7-01,0.40610,0.41290,0.41790,0.40610,0.41419
2016-8-01,0.41440,0.41944,0.42020,0.41440,0.41817
2016-9-01,0.41611,0.42378,0.42544,0.41611,0.42165
2016-10-01,0.42267,0.43344,0.43544,0.42267,0.43098
2016-11-01,0.43456,0.43056,0.43733,0.43056,0.43399
2016-12-01,0.43422,0.69211,0.69378,0.43311,0.56063
2017-1-01,0.69544,0.69000,0.69544,0.68722,0.69080
2017-2-01,0.69111,0.68056,0.69278,0.68056,0.68637
2017-3-01,0.68167,0.92167,0.92667,0.68167,0.80956
2017-4-01,0.92722,0.92944,0.93111,0.92611,0.92897
2017-5-01,0.92667,0.92889,0.93111,0.92667,0.92865
2017-6-01,0.93111,1.16167,1.17722,0.93056,1.06409
2017-7-01,1.17167,1.17611,1.18000,1.17167,1.17694
2017-8-01,1.17556,1.17556,1.17889,1.17556,1.17755
2017-9-01,1.17722,1.18167,1.18167,1.17611,1.17844
2017-10-01,1.18000,1.18222,1.18500,1.18000,1.18349
2017-11-01,1.18222,1.18000,1.18625,1.18000,1.18330
2017-12-01,1.18250,1.42875,1.43750,1.18250,1.31441
2018-1-01,1.43750,1.43938,1.43938,1.43625,1.43789
2018-2-01,1.44375,1.44250,1.44813,1.43875,1.44326
2018-3-01,1.44625,1.69688,1.69875,1.44500,1.51830
2018-4-01,1.69938,1.70369,1.70500,1.69938,1.70275
2018-5-01,1.70438,1.71163,1.71163,1.70438,1.70660
2018-6-01,1.71200,1.93538,1.93563,1.71200,1.83763
2018-7-01,1.92975,1.91538,1.92975,1.91163,1.91847
2018-8-01,1.91563,1.91488,1.92025,1.91250,1.91649
2018-9-01,1.91363,2.17138,2.17388,1.91363,1.94489
2018-10-01,2.17075,2.17300,2.18000,2.16525,2.17299
2018-11-01,2.17538,2.17750,2.18300,2.17288,2.17789
2018-12-01,2.18188,2.37825,2.39238,2.17188,2.24660
2019-1-01,2.38675,2.38350,2.39413,2.37563,2.38699
2019-2-01,2.37400,2.38275,2.38863,2.37400,2.38409
2019-3-01,2.38488,2.38200,2.39388,2.38200,2.38900
2019-4-01,2.38813,2.37913,2.40275,2.37913,2.39100
2019-5-01,2.39188,2.35450,2.39188,2.34338,2.35909
2019-6-01,2.36075,2.37038,2.37038,2.34088,2.35021
2019-7-01,2.35975,2.35163,2.36275,2.34700,2.35487
2019-8-01,2.11225,2.08963,2.11225,2.08663,2.09670
2019-9-01,2.09063,1.82150,2.18525,1.82150,2.00646
2019-10-01,1.82613,1.59988,1.85125,1.59988,1.80198
2019-11-01,1.59213,1.54250,1.59213,1.52700,1.54125
2019-12-01,1.54063,1.54263,1.54263,1.52538,1.53365
2020-1-01,1.54050,1.56875,1.56875,1.52700,1.53518
2020-2-01,1.56800,1.56775,1.57738,1.56338,1.57173
2020-3-01,1.57463,0.11900,1.57563,0.11900,0.65081
2020-4-01,0.10875,0.06050,0.10875,0.05075,0.06813
2020-5-01,0.05838,0.06150,0.06300,0.05725,0.06076
2020-6-01,0.06200,0.08088,0.08175,0.05975,0.06922
2020-7-01,0.07663,0.08725,0.08725,0.07663,0.08364
2020-8-01,0.08425,0.08088,0.08900,0.08088,0.08400
2020-9-01,0.08125,0.07800,0.08413,0.07800,0.08187
2020-10-01,0.08175,0.08138,0.08413,0.08000,0.08131
2020-11-01,0.08113,0.08500,0.08500,0.08000,0.08209
2020-12-01,0.08050,0.07763,0.08738,0.07763,0.08308
2021-1-01,0.08463,0.07875,0.08700,0.07875,0.08513
2021-2-01,0.07925,0.08400,0.08400,0.07813,0.08085
2021-3-01,0.07950,0.08063,0.08063,0.07288,0.07741
2021-4-01,0.07475,0.07125,0.07788,0.07125,0.07379
2021-5-01,0.06450,0.06113,0.06788,0.05700,0.06177
2021-6-01,0.05425,0.08650,0.08650,0.05425,0.06739
2021-7-01,0.08050,0.07688,0.08675,0.07688,0.08316
2021-8-01,0.07950,0.07338,0.08150,0.07338,0.07806
2021-9-01,0.07288,0.07463,0.07463,0.06675,0.07181
2021-10-01,0.07438,0.07213,0.07438,0.06950,0.07235
2021-11-01,0.06763,0.07650,0.07650,0.06500,0.07272
2021-12-01,0.07713,0.06438,0.07813,0.06438,0.07346
2022-1-01,0.07229,0.07700,0.07886,0.07014,0.07583
2022-2-01,0.07743,0.07714,0.07843,0.07371,0.07689
2022-3-01,0.07700,0.33171,0.33171,0.07700,0.19818
2022-4-01,0.32729,0.33000,0.33100,0.32114,0.32669
2022-5-01,0.33029,0.82200,0.82686,0.33029,0.77301
2022-6-01,0.81914,1.57900,1.57900,0.81586,1.21599
2022-7-01,1.56729,2.32157,2.32157,1.55814,1.63918
2022-8-01,2.31157,2.31629,2.32400,2.30714,2.31546
2022-9-01,2.32000,3.06514,3.07171,2.31071,2.57825
2022-10-01,3.06629,3.06314,3.06843,3.05643,3.06296
2022-11-01,3.05886,3.82314,3.82314,3.05886,3.74021
2022-12-01,3.82400,4.31800,4.32057,3.81186,4.06734
2023-1-01,4.31886,4.29843,4.31886,4.29843,4.30991
2023-2-01,4.29686,4.55329,4.56457,4.29686,4.54394
2023-3-01,4.55714,4.80086,4.81157,4.55086,4.63447
2023-4-01,4.80629,4.81100,4.81629,4.79571,4.80877
2023-5-01,4.81486,5.06371,5.06614,4.81086,5.03737
2023-6-01,5.06471,5.06157,5.07614,5.05129,5.06622
2023-7-01,-,-,-,-,-
2023-8-01,-,-,-,-,-
2023-9-01,-,-,-,-,-
2023-10-01,-,-,-,-,-
2023-11-01,-,-,-,-,-
2023-12-01,-,-,-,-,-
2024-1-01,5.46292,5.44443,5.46292,5.44282,5.45102
2024-2-01,5.43800,5.43692,5.44300,5.43033,5.43596
2024-3-01,5.43710,5.44322,5.44665,5.43219,5.43989
2024-4-01,5.43852,5.43040,5.43852,5.42765,5.43280
2024-5-01,5.43469,5.44429,5.44429,5.43125,5.43724
2024-6-01,5.44242,5.45971,5.45971,5.44078,5.44784
2024-7-01,-,-,-,-,-
2024-8-01,-,-,-,-,-
2024-9-01,-,-,-,-,-
2024-10-01,-,-,-,-,-
2024-11-01,-,-,-,-,-
2024-12-01,-,-,-,-,-
